ZONAS,ESPACIO,OBJETO,Tipo,Variante,L,A,H,m3
ZONAS DE SERVICIO,CUARTO DE ROPAS,ELECTRODOMESTICOS,Lavadora,,0.65,0.65,0.90,0.38
ZONAS DE SERVICIO,CUARTO DE ROPAS,ELECTRODOMESTICOS,Secadora,,0.65,0.65,0.90,0.38
ZONAS DE SERVICIO,CUARTO DE ROPAS,ELECTRODOMESTICOS,Torre lav/sec,,0.65,0.65,1.70,0.72
ZONAS DE SERVICIO,CUARTO DE ROPAS,ELECTRODOMESTICOS,Centro de planchado,,0.45,0.30,0.35,0.05
ZONAS DE SERVICIO,CUARTO DE ROPAS,ELECTRODOMESTICOS,Plancha vapor,,0.35,0.15,0.20,0.01
ZONAS DE SERVICIO,CUARTO DE ROPAS,ELECTRODOMESTICOS,Vaporizador ropa,,0.30,0.20,0.30,0.02
ZONAS DE SERVICIO,CUARTO DE ROPAS,ELECTRODOMESTICOS,Aspiradora,,0.40,0.30,0.60,0.07
ZONAS DE SERVICIO,CUARTO DE ROPAS,MOBILIARIO,Lavadero,,0.60,0.60,0.90,0.32
ZONAS DE SERVICIO,CUARTO DE ROPAS,MOBILIARIO,Mueble lavadero,,0.80,0.50,0.90,0.36
ZONAS DE SERVICIO,CUARTO DE ROPAS,MOBILIARIO,Estantería detergentes,,0.80,0.40,1.80,0.58
ZONAS DE SERVICIO,CUARTO DE ROPAS,MOBILIARIO,Gabinete alto,,0.60,0.40,0.90,0.22
ZONAS DE SERVICIO,CUARTO DE ROPAS,MOBILIARIO,Gabinete bajo,,0.60,0.60,0.90,0.32
ZONAS DE SERVICIO,CUARTO DE ROPAS,MOBILIARIO,Carrito lavandería,,0.50,0.40,0.90,0.18
ZONAS DE SERVICIO,CUARTO DE ROPAS,MOBILIARIO,Mueble plancha,,1.20,0.40,0.90,0.43
ZONAS DE SERVICIO,CUARTO DE ROPAS,MOBILIARIO,Caneca ropa,,0.45,0.45,0.60,0.12

ZONAS DE SERVICIO,BAÑOS,TENOLOGIA,Secador de cabello,,0.30,0.20,0.20,0.01
ZONAS DE SERVICIO,BAÑOS,TENOLOGIA,Cepillo eléctrico,,0.25,0.15,0.15,0.01
ZONAS DE SERVICIO,BAÑOS,TENOLOGIA,Afeitadora eléctrica,,0.20,0.15,0.15,0.01
ZONAS DE SERVICIO,BAÑOS,TENOLOGIA,Calentador portátil,,0.45,0.30,0.80,0.12
ZONAS DE SERVICIO,BAÑOS,TENOLOGIA,Extractor de aire,,0.30,0.30,0.20,0.02
